learning_rate,warmup_ratio,rank,alpha,dropout,target_modules,trial_id,generation,accuracy,trainable_params
0.0001577318342129634,0.018775314618804096,3,93,0.04668509357991797,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",79,3,0.8805,788742
0.0001577318342129634,0.018775314618804096,3,93,0.04668509357991797,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",80,3,0.8795,788742
0.0001577318342129634,0.04982722297980512,2,58,0.08647776779028804,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",81,4,0.8695,724230
0.0002,0.06962243226370528,2,73,0.03174579912197418,"['q_lin', 'v_lin']",82,4,0.8215,632070
0.0001577318342129634,0.018775314618804096,3,58,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",83,4,0.863,788742
0.0001577318342129634,0.06962243226370528,2,93,0.03174579912197418,"['q_lin', 'v_lin']",84,4,0.796,632070
9.33718995509114e-05,0.018775314618804096,3,93,0.04668509357991797,"['q_lin', 'v_lin']",85,4,0.7395,650502
0.0001577318342129634,0.018775314618804096,2,93,0.04668509357991797,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",86,4,0.88,724230
5e-06,0.04982722297980512,2,73,0.1602770881745257,"['q_lin', 'v_lin']",87,4,0.357,632070
0.0002,0.018775314618804096,3,92,0.04668509357991797,"['q_lin', 'v_lin']",88,4,0.8305,650502
1.251760867078911e-05,0.018775314618804096,3,93,0.04668509357991797,"['q_lin', 'v_lin']",89,4,0.5205,650502
0.0002,0.04982722297980512,2,72,0.08647776779028804,"['q_lin', 'v_lin']",90,4,0.8125,632070
0.0001577318342129634,0.018775314618804096,2,73,0.04668509357991797,"['q_lin', 'v_lin']",91,4,0.795,632070
5e-06,0.018775314618804096,3,58,0.08647776779028804,"['q_lin', 'v_lin']",92,4,0.3785,650502
0.0001577318342129634,0.04982722297980512,2,73,0.04668509357991797,"['q_lin', 'v_lin']",93,4,0.803,632070
5e-06,0.04982722297980512,2,72,0.08647776779028804,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",94,4,0.3935,724230
0.0001577318342129634,0.06962243226370528,6,93,0.04668509357991797,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",95,4,0.889,982278
0.0001577318342129634,0.018775314618804096,3,67,0.07397543441004568,"['q_lin', 'v_lin']",96,4,0.7945,650502
0.0002,0.018775314618804096,3,93,0.04668509357991797,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",97,4,0.887,788742
5e-06,0.0,2,73,0.08647776779028804,"['q_lin', 'v_lin']",98,4,0.353,632070
0.0001577318342129634,0.018775314618804096,3,93,0.017245559205880046,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",99,4,0.8795,788742
0.0001577318342129634,0.018775314618804096,3,93,0.04668509357991797,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",100,4,0.8795,788742
